HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
합계 : 기획실수탁고분류	열 레이블						합계 : 순자산(후)	열 레이블											행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00			행 레이블	2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00										
주식혼합	11.938641630000001	10.210977139999999	22.14961877																예금보험기금 국내채권형 유니버스 11호(은행)	3386.53014609	2463.67403245	-922.8561136399999		투자풀일반사모증권투자신탁제11호[채권]	2258.33956705	2474.38301475	216.0434476999999														
ETF	18688.414988859997	21958.832364600003	40647.24735346	1260.44188904	1488.22385339	2748.66574243	43840.55093227	47047.38491416	90887.93584643										예금보험기금 국내채권형 유니버스 12호(생보)	939.63469905	706.56088691	-233.07381213999997		투자풀일반사모증권투자신탁M-14호(채권)		299.85	299.85														
MMF	59993.93980076001	82722.64632284999	142716.58612361				3867.28250516	4723.22196773	8590.50447289										투자풀일반사모MMF11호(전문)	13347.72435256	13347.69107121	-0.03328135000083421		투자풀ESG일반사모증권투자신탁제5호(채권)	5524.85099552	6181.7841372	656.9331416800005														
재간접파생							266.42328024	437.23198071	703.65526095										한국투자ACE머니마켓액티브증권상장지수투자신탁(채권)	4651.03870393	6895.87586513	2244.8371612		투자풀ESG일반사모증권투자신탁M-20호(채권)		99.0	99.0														
혼합자산								1483.99164229	1483.99164229										한국투자TMF26-12만기형증권투자신탁(채권)(모)	205.19964581	206.17916211	0.9795163000000002		연기금일반사모증권투자신탁제195-10호(채권)	2004.83269246		-2004.83269246														
총합계	113994.94309588001	137239.02443005	251233.96752593003	163742.43703908997	150924.02552854	314666.46256763	72203.52903882999	81540.42460964	153743.95364847										한국투자TMF28-12만기형증권투자신탁(채권)(모)	220.44913056	221.23419901	0.7850684500000114		삼성생명한투인덱스업VA케이인덱스30혼합형(채권)	603.39692873	594.05946427	-9.337464459999978														
5. 펀드별 증감																			한국투자압축포트폴리오프리미어목표전환형증권투자2(주식)(모)	1.21558969		-1.21558969		삼성생명한투스마트VUL종신(3.0)채권형(채권)	1134.7075065	1023.79307729	-110.91442920999987														
																			한국투자베이직일반사모증권투자신탁135호(USD)(채권)		588.52	588.52		삼성생명한투스마트VUL종신(3.0)채권형(Sys)	1085.18894133	997.20878965	-87.98015168000006														
상위 10		(단위: 억 원)			하위 10		(단위: 억 원)			소속									한국투자베이직일반사모증권투자신탁136호(채권-파생형)		403.93309513	403.93309513		삼성생명한투스마트TOP변액연금(1.2)채권형(채권)	736.91773555	714.93770458	-21.98003097000003														
		2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감			2025-12-31 00:00:00+00:00	2026-07-14 00:00:00+00:00	증감										한국투자ACE단기채권알파액티브증권상장지수투자신탁(채권)	662.32895996	686.24980697	23.92084700999999		삼성생명한투변액연금인덱스혼합형(채권)		1122.0040849	1122.0040849														
