HideDate	ShowDate																																								
6/30/2026	7/14/2026																																								
																																									
																																									
2. 수탁고-세부분류							2. 수탁고-세부분류												최종모펀드유무	O				최종모펀드유무	O				최종모펀드유무	O											
종류형구분	(다중 항목)						종류형구분	(다중 항목)											제외조건					제외조건					제외조건												
모자구분	(다중 항목)						모자구분	(다중 항목)											운용부서	FI운용본부				운용부서	FI운용본부				운용부서	FI운용본부											
제외조건							제외조건												팀분류	FI운용1부				팀분류	FI운용2부				팀분류	해외FI운용부											
운용부서	(다중 항목)						운용부서	FI운용본부																																	
																			합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블				합계 : 기획실수탁고분류	열 레이블											
	FI운용1부		FI운용1부 요약	FI운용2부		FI운용2부 요약	해외FI운용부		해외FI운용부 요약										한국투자ACEKIS종합채권(AA-이상)액티브증권상장지수투자신탁	8107.13524666	10708.88488495	=IF(T60="","",(V60-U60))		푸르덴셜변액연금보험안정혼합형1(채권형)	472.19944113	595.61789383	=IF(Y60="","",(AA60-Z60))					=IF(AD60="","",(AF60-AE60))									
행 레이블	46022	46217		46022	46217		46022	46217											한국투자초단기내일드림증권투자신탁(채권)(모)	326.79701712	353.5348709	=IF(T61="","",(V61-U61))		푸르덴셜변액 VUL안정혼합형_채권	845.393327	1021.9724344	=IF(Y61="","",(AA61-Z61))					=IF(AD61="","",(AF61-AE61))									
채권	32081.57946447	30013.29006547	62094.86952994	132883.46019227	117490.69852904	250374.15872131	2706.96907774	4363.49471971	7070.46379745										한국투자베이직일반사모증권투자신탁128호(채권)	1000	1000	=IF(T62="","",(V62-U62))		푸르덴셜변액 VA혼합형_채권	365.58324368	470.81775658	=IF(Y62="","",(AA62-Z62))					=IF(AD62="","",(AF62-AE62))									
채권파생	1023.6289821	403.93309513	1427.56207723	2381.5597615	2381.5597615	4763.119523	1935.94286364	2103.03835585	4038.98121949										한국투자신종법인용MMF15호(모)	69.64873867	66.78529637	=IF(T63="","",(V63-U63))		푸르덴셜변액 SVUL&NVA단기안정채권형	47.57891586	67.10168919	=IF(Y63="","",(AA63-Z63))					=IF(AD63="","",(AF63-AE63))									
채권혼합	43.28463455	40.25818817	83.54282272																한국투자베이직일반사모증권투자신탁129호(USD)(채권)	585.28		=IF(T64="","",(V64-U64))		투자풀일반사모증권투자신탁제6호(채권)	2349.48186306	2470.3731184	=IF(Y64="","",(AA64-Z64))					=IF(AD64="","",(AF64-AE64))									
변액보험	1969.84904346	1892.54001796	3862.38906142	27216.97519628	29563.54338461	56780.51858089	110.35224737	257.60813986	367.96038723										한국투자신종법인용MMF3호(국공채)(모)	965.40297793	365.49004533	=IF(T65="","",(V65-U65))		투자풀일반사모증권투자신탁제6-2호(채권)		688.32218028	=IF(Y65="","",(AA65-Z65))					=IF(AD65="","",(AF65-AE65))									
재간접	182.30754005	197.31339873	379.62093878				19476.00813241	21124.45288933	40600.46102174										한국투자ACEFTSEWGBIKorea증권상장지수투자신탁(채권)	191.3582423		=IF(T66="","",(V66-U66))		투자풀일반사모증권투자신탁제6-1호(채권)	2495.98842305	3132.32360094	=IF(Y66="","",(AA66-Z66))					=IF(AD66="","",(AF66-AE66))									
주식혼합	11.93864163	10.21097714	22.14961877																예금보험기금 국내채권형 유니버스 11호(은행)	3386.53014609	2463.67403245	=IF(T67="","",(V67-U67))		투자풀일반사모증권투자신탁제11호[채권]	2258.33956705	2474.38301475	=IF(Y67="","",(AA67-Z67))					=IF(AD67="","",(AF67-AE67))									
ETF	18688.41498886	21958.8323646	40647.24735346	1260.44188904	1488.22385339	2748.66574243	43840.55093227	47047.38491416	90887.93584643										예금보험기금 국내채권형 유니버스 12호(생보)	939.63469905	706.56088691	=IF(T68="","",(V68-U68))		투자풀일반사모증권투자신탁M-14호(채권)		299.85	=IF(Y68="","",(AA68-Z68))					=IF(AD68="","",(AF68-AE68))									
MMF	59993.93980076	82722.64632285	142716.58612361				3867.28250516	4723.22196773	8590.50447289										투자풀일반사모MMF11호(전문)	13347.72435256	13347.69107121	=IF(T69="","",(V69-U69))		투자풀ESG일반사모증권투자신탁제5호(채권)	5524.85099552	6181.7841372	=IF(Y69="","",(AA69-Z69))					=IF(AD69="","",(AF69-AE69))									
